,log message,log key,parameter value vector,anomalies
132,Feb 15 01:10:47.845 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
133,Feb 15 01:10:47.845 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,0
134,Feb 15 01:10:47.844 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,0
135,Feb 15 01:10:47.844 id.server IN A + (127.0.0.1),E0,[0,0
136,Feb 15 01:10:47.843 67b.org IN A + (127.0.0.1),E0,[0,0
137,Feb 15 01:10:47.843 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
138,Feb 15 01:10:44.872 c.afekv.com IN A + (127.0.0.1),E1,[0,0
139,Feb 15 01:10:44.862 direct.shodan.io IN A + (127.0.0.1),E0,[0,0
140,Feb 15 01:10:44.862 peacecorps.gov IN A + (127.0.0.1),E2,[3,0
141,Feb 15 01:10:44.861 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
142,Feb 15 01:10:44.860 www.wikipedia.org IN A + (127.0.0.1),E0,[0,0
143,Feb 15 01:10:44.858 hostname.bind IN A + (127.0.0.1),E0,[0,0
144,Feb 15 01:10:44.857 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,0
145,Feb 15 01:10:44.855 version.bind IN A + (127.0.0.1),E0,[0,0
146,Feb 15 01:10:44.854 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,0
147,Feb 15 01:10:44.853 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
148,Feb 15 01:10:44.852 67b.org IN A + (127.0.0.1),E0,[0,0
149,Feb 15 01:10:44.851 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
150,Feb 15 01:10:44.850 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
151,Feb 15 01:10:44.842 id.server IN A + (127.0.0.1),E0,[0,0
152,Feb 15 01:10:41.857 c.afekv.com IN A + (127.0.0.1),E1,[0,0
153,Feb 15 01:10:41.856 direct.shodan.io IN A + (127.0.0.1),E0,[0,0
154,Feb 15 01:10:41.856 peacecorps.gov IN A + (127.0.0.1),E2,[3,0
155,Feb 15 01:10:41.855 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
156,Feb 15 01:10:41.854 www.wikipedia.org IN A + (127.0.0.1),E0,[0,0
157,Feb 15 01:10:41.852 hostname.bind IN A + (127.0.0.1),E0,[0,0
158,Feb 15 01:10:41.851 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,0
159,Feb 15 01:10:41.849 version.bind IN A + (127.0.0.1),E0,[0,0
160,Feb 15 01:10:41.848 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,0
161,Feb 15 01:10:41.847 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
162,Feb 15 01:10:41.846 67b.org IN A + (127.0.0.1),E0,[0,0
163,Feb 15 01:10:41.845 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
164,Feb 15 01:10:41.844 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
165,Feb 15 01:10:41.842 id.server IN A + (127.0.0.1),E0,[0,0
166,Feb 15 01:10:38.846 c.afekv.com IN A + (127.0.0.1),E1,[0,0
167,Feb 15 01:10:38.846 direct.shodan.io IN A + (127.0.0.1),E0,[0,0
168,Feb 15 01:10:38.845 peacecorps.gov IN A + (127.0.0.1),E2,[3,0
169,Feb 15 01:10:38.845 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
170,Feb 15 01:10:38.844 www.wikipedia.org IN A + (127.0.0.1),E0,[0,0
171,Feb 15 01:10:38.843 hostname.bind IN A + (127.0.0.1),E0,[0,0
172,Feb 15 01:10:38.843 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,0
173,Feb 15 01:10:38.842 version.bind IN A + (127.0.0.1),E0,[0,0
174,Feb 15 01:10:38.841 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,0
175,Feb 15 01:10:38.841 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
176,Feb 15 01:10:38.840 67b.org IN A + (127.0.0.1),E0,[0,0
177,Feb 15 01:10:38.840 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
178,Feb 15 01:10:38.839 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
179,Feb 15 01:10:38.838 id.server IN A + (127.0.0.1),E0,[0,0
180,Feb 15 01:10:35.808 c.afekv.com IN A + (127.0.0.1),E1,[0,0
181,Feb 15 01:10:35.808 direct.shodan.io IN A + (127.0.0.1),E0,[0,0
182,Feb 15 01:10:35.808 peacecorps.gov IN A + (127.0.0.1),E2,[3,0
183,Feb 15 01:10:35.807 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
184,Feb 15 01:10:35.807 www.wikipedia.org IN A + (127.0.0.1),E0,[0,0
185,Feb 15 01:10:35.806 hostname.bind IN A + (127.0.0.1),E0,[0,0
186,Feb 15 01:10:35.806 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,0
187,Feb 15 01:10:35.805 version.bind IN A + (127.0.0.1),E0,[0,0
188,Feb 15 01:10:35.805 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,0
189,Feb 15 01:10:35.805 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
190,Feb 15 01:10:35.804 67b.org IN A + (127.0.0.1),E0,[0,0
191,Feb 15 01:10:35.804 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
192,Feb 15 01:10:35.804 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
193,Feb 15 01:10:35.803 id.server IN A + (127.0.0.1),E0,[0,0
194,Feb 15 01:10:32.841 c.afekv.com IN A + (127.0.0.1),E1,[0,0
195,Feb 15 01:10:32.841 direct.shodan.io IN A + (127.0.0.1),E0,[0,0
196,Feb 15 01:10:32.839 peacecorps.gov IN A + (127.0.0.1),E2,[3,0
197,Feb 15 01:10:32.839 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
198,Feb 15 01:10:32.838 www.wikipedia.org IN A + (127.0.0.1),E0,[0,0
199,Feb 15 01:10:32.838 hostname.bind IN A + (127.0.0.1),E0,[0,0
200,Feb 15 01:10:32.837 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,0
201,Feb 15 01:10:32.837 version.bind IN A + (127.0.0.1),E0,[0,0
202,Feb 15 01:10:32.837 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,0
203,Feb 15 01:10:32.836 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
204,Feb 15 01:10:32.836 67b.org IN A + (127.0.0.1),E0,[0,0
205,Feb 15 01:10:32.836 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
206,Feb 15 01:10:32.836 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
207,Feb 15 01:10:32.835 id.server IN A + (127.0.0.1),E0,[0,0
208,Feb 15 01:10:29.843 c.afekv.com IN A + (127.0.0.1),E1,[0,0
