LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate,ParameterList
1877,Jul,18,18:33:42,elk-anis-test,NetworkManager,831,<info>  [1626633222.9908] dhcp4 (eth0): option requested_time_offset => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626633222.9908]', 'requested_time_offset', ""=> '1'""]"
1878,Jul,18,18:33:42,elk-anis-test,NetworkManager,831,<info>  [1626633222.9908] dhcp4 (eth0): option requested_wpad       => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626633222.9908]', 'requested_wpad', ""=> '1'""]"
1879,Jul,18,18:33:42,elk-anis-test,NetworkManager,831,<info>  [1626633222.9908] dhcp4 (eth0): option routers              => '172.31.16.1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626633222.9908]', 'routers', ""=> '172.31.16.1'""]"
1880,Jul,18,18:33:42,elk-anis-test,NetworkManager,831,<info>  [1626633222.9908] dhcp4 (eth0): option subnet_mask          => '255.255.240.0',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626633222.9908]', 'subnet_mask', ""=> '255.255.240.0'""]"
1881,Jul,18,18:33:42,elk-anis-test,NetworkManager,831,<info>  [1626633222.9908] dhcp4 (eth0): state changed extended -> extended,c592d122,<info> <*> dhcp4 (eth0): state changed <*> -> <*>,"['<info>', '[1626633222.9908]', 'extended', '-> extended']"
1882,Jul,18,18:33:42,elk-anis-test,dbus-daemon,733,"[system] Activating via systemd: service name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service' requested by ':1.12' (uid=0 pid=831 comm=""/usr/sbin/NetworkManager --no-daemon "")",9637bfe5,"[system] Activating via systemd: service <*> <*> requested by <*> (uid=0 <*> comm=""/usr/sbin/NetworkManager --no-daemon "")","[""name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service'"", ""':1.12'"", 'pid=831']"
1883,Jul,18,18:33:42,elk-anis-test,systemd,1,Starting Network Manager Script Dispatcher Service...,cf670cc6,Starting Network Manager Script Dispatcher Service...,[]
1884,Jul,18,18:33:43,elk-anis-test,dbus-daemon,733,[system] Successfully activated service 'org.freedesktop.nm_dispatcher',de230850,[system] Successfully activated service <*>,"[""'org.freedesktop.nm_dispatcher'""]"
1885,Jul,18,18:33:43,elk-anis-test,systemd,1,Started Network Manager Script Dispatcher Service.,16a3ed3f,Started Network Manager Script Dispatcher Service.,[]
1886,Jul,18,18:33:53,elk-anis-test,systemd,1,NetworkManager-dispatcher.service: Succeeded.,1dad2c1c,NetworkManager-dispatcher.service: Succeeded.,[]
1887,Jul,18,18:45:12,elk-anis-test,systemd,1,Starting dnf makecache...,e74be86b,Starting dnf makecache...,[]
1888,Jul,18,18:45:12,elk-anis-test,dnf,1535,Metadata cache refreshed recently.,b0dd5a92,Metadata cache refreshed recently.,[]
1889,Jul,18,18:45:12,elk-anis-test,systemd,1,dnf-makecache.service: Succeeded.,8a53f6ae,dnf-makecache.service: Succeeded.,[]
1890,Jul,18,18:45:12,elk-anis-test,systemd,1,Started dnf makecache.,9e1f80ca,Started dnf makecache.,[]
1891,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9905] dhcp4 (eth0): option dhcp_lease_time      => '3600',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9905]', 'dhcp_lease_time', ""=> '3600'""]"
1892,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9905] dhcp4 (eth0): option domain_name          => 'ap-southeast-1.compute.internal',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9905]', 'domain_name', ""=> 'ap-southeast-1.compute.internal'""]"
1893,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9906] dhcp4 (eth0): option domain_name_servers  => '172.31.0.2',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9906]', 'domain_name_servers', ""=> '172.31.0.2'""]"
1894,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9906] dhcp4 (eth0): option expiry               => '1626638622',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9906]', 'expiry', ""=> '1626638622'""]"
1895,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9906] dhcp4 (eth0): option host_name            => 'ip-172-31-17-0',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9906]', 'host_name', ""=> 'ip-172-31-17-0'""]"
1896,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9906] dhcp4 (eth0): option interface_mtu        => '9001',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9906]', 'interface_mtu', ""=> '9001'""]"
1897,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9906] dhcp4 (eth0): option ip_address           => '172.31.17.0',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9906]', 'ip_address', ""=> '172.31.17.0'""]"
1898,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9906] dhcp4 (eth0): option requested_broadcast_address => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9906]', 'requested_broadcast_address', ""=> '1'""]"
1899,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9906] dhcp4 (eth0): option requested_domain_name => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9906]', 'requested_domain_name', ""=> '1'""]"
1900,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9906] dhcp4 (eth0): option requested_domain_name_servers => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9906]', 'requested_domain_name_servers', ""=> '1'""]"
1901,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9907] dhcp4 (eth0): option requested_domain_search => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9907]', 'requested_domain_search', ""=> '1'""]"
1902,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9907] dhcp4 (eth0): option requested_host_name  => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9907]', 'requested_host_name', ""=> '1'""]"
1903,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9907] dhcp4 (eth0): option requested_interface_mtu => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9907]', 'requested_interface_mtu', ""=> '1'""]"
1904,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9907] dhcp4 (eth0): option requested_ms_classless_static_routes => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9907]', 'requested_ms_classless_static_routes', ""=> '1'""]"
1905,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9907] dhcp4 (eth0): option requested_nis_domain => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9907]', 'requested_nis_domain', ""=> '1'""]"
1906,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9907] dhcp4 (eth0): option requested_nis_servers => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9907]', 'requested_nis_servers', ""=> '1'""]"
1907,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9907] dhcp4 (eth0): option requested_ntp_servers => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9907]', 'requested_ntp_servers', ""=> '1'""]"
1908,Jul,18,19:03:42,elk-anis-test,NetworkManager,831,<info>  [1626635022.9907] dhcp4 (eth0): option requested_rfc3442_classless_static_routes => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626635022.9907]', 'requested_rfc3442_classless_static_routes', ""=> '1'""]"
